Main ID,Incident ID,Incident Type,Region of Incident,Website Date,Incident year,Reported Month,Number of Dead,Minimum Estimated Number of Missing,Total Number of Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Region of Origin,Cause of Death,Country of Origin,Migration route,Location of death,Information Source,Coordinates,UNSD Geographical Grouping,Article title,Source Quality,URL
2014.MMP00013,2014.MMP00013,Incident,North America,2014-01-29,2014,January,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.481483, -111.654933",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2016,5.0,
2014.MMP00014,2014.MMP00014,Incident,North America,2014-01-29,2014,January,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.481683, -111.654933",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5.0,
2014.MMP00019,2014.MMP00019,Incident,North America,2014-02-11,2014,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.8054, -111.854867",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5.0,
2014.MMP00020,2014.MMP00020,Incident,North America,2014-02-16,2014,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.992833, -111.385833",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5.0,
2014.MMP00021,2014.MMP00021,Incident,North America,2014-02-16,2014,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.17305, -112.20211",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5.0,
2014.MMP00023,2014.MMP00023,Incident,North America,2014-02-17,2014,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.00768, -112.1726",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5.0,
2014.MMP00024,2014.MMP00024,Incident,North America,2014-02-18,2014,February,1.0,,1,2.0,,1.0,,Central America,Violence,Mexico,US-Mexico border crossing,"California-Mexico border near San Diego, California, USA",CNN,"32.5543, -117",Northern America,"Border Patrol agent shoots, kills migrant who threw rocks",1.0,http://cnn.it/1jGgOUo
2014.MMP00026,2014.MMP00026,Incident,North America,2014-02-20,2014,February,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.82214, -111.96383",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5.0,
2014.MMP00027,2014.MMP00027,Incident,North America,2014-02-21,2014,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.08795, -112.58407",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2017,5.0,
2014.MMP00028,2014.MMP00028,Incident,North America,2014-02-25,2014,February,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.0885, -112.44956",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00032,2014.MMP00032,Incident,North America,2014-03-04,2014,March,1.0,,1,,1.0,,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Guatemala,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.759, -110.51916",Northern America,,5.0,http://humaneborders.info/
2014.MMP00036,2014.MMP00036,Incident,Central America,2014-03-11,2014,March,1.0,,1,,1.0,,1.0,South America,Violence,Ecuador,US-Mexico border crossing,"Río Bravo, Ciudad Juarez, Chihuahua, Mexico",New York Times ,"31.6904, -106.425",Central America,A 12-Year-Old’s Trek of Despair Ends in a Noose at the Border,1.0,http://nyti.ms/1k00Xlq
2014.MMP00039,2014.MMP00039,Incident,North America,2014-03-13,2014,March,1.0,,1,,,,,Central America,Mixed or unknown,El Salvador,US-Mexico border crossing,"King Ranch, Brooks County, Texas, USA","Operation Identification, University of Texas","26.81120278, -97.74819915",Northern America,,5.0,
2014.MMP00042,2014.MMP00042,Incident,North America,2014-03-15,2014,March,1.0,,1,,,,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.789033, -112.114583",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00043,2014.MMP00043,Incident,North America,2014-03-15,2014,March,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1386, -112.326",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00047,2014.MMP00047,Incident,North America,2014-03-23,2014,March,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.558, -111.183",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00048,2014.MMP00048,Incident,North America,2014-03-26,2014,March,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.94755, -112.06415",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00049,2014.MMP00049,Incident,North America,2014-03-26,2014,March,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.85666, -111.62433",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00051,2014.MMP00051,Incident,North America,2014-03-30,2014,March,1.0,,1,,1.0,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.688867, -111.862733",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00052,2014.MMP00052,Incident,North America,2014-03-30,2014,March,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.3085, -111.7528",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00053,2014.MMP00053,Incident,North America,2014-03-30,2014,March,1.0,,1,,,1.0,,Central America,Accidental death,El Salvador,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Nogales International and Pima County Office of the Medical Examiner (PCOME),"31.33271, -110.93813",Northern America,Migrant dies after falling from border fence and Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,http://bit.ly/1grVlvz
2014.MMP00054,2014.MMP00054,Incident,North America,2014-04-02,2014,April,1.0,,1,,,1.0,,Central America,Mixed or unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.354017, -110.989383",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00057,2014.MMP00057,Incident,North America,2014-04-10,2014,April,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.03171, -112.42503",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00058,2014.MMP00058,Incident,North America,2014-04-10,2014,April,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.836217, -111.9419",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00059,2014.MMP00059,Incident,North America,2014-04-14,2014,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.12865, -111.330983",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00060,2014.MMP00060,Incident,North America,2014-04-14,2014,April,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.178733, -112.5039",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00061,2014.MMP00061,Incident,North America,2014-04-14,2014,April,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.09045, -112.246033",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00066,2014.MMP00066,Incident,North America,2014-04-18,2014,April,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1886, -113.0037",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00068,2014.MMP00068,Incident,North America,2014-04-23,2014,April,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.1833, -112.9961",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00070,2014.MMP00070,Incident,North America,2014-04-27,2014,April,1.0,,1,,,1.0,,Central America,Violence,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.99887, -110.862595",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00071,2014.MMP00071,Incident,North America,2014-04-27,2014,April,1.0,,1,,,1.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.467633, -110.793333",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00073,2014.MMP00073,Incident,North America,2014-04-30,2014,April,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.59867, -111.43782",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00075,2014.MMP00075,Incident,North America,2014-05-01,2014,May,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.58023, -111.79283",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00079,2014.MMP00079,Incident,North America,2014-05-06,2014,May,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.12555, -112.868",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00082,2014.MMP00082,Incident,North America,2014-05-08,2014,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.75233, -111.97016",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00085,2014.MMP00085,Incident,North America,2014-05-10,2014,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Violence,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.692369, -110.360473",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00087,2014.MMP00087,Incident,North America,2014-05-13,2014,May,1.0,,1,,,1.0,,Central America,Mixed or unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.95283, -112.34965",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00088,2014.MMP00088,Incident,North America,2014-05-21,2014,May,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.61445, -111.68357",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00089,2014.MMP00089,Incident,North America,2014-05-22,2014,May,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.46313, -111.6213",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00092,2014.MMP00092,Incident,North America,2014-05-27,2014,May,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.0667, -113.1525",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00093,2014.MMP00093,Incident,North America,2014-05-28,2014,May,1.0,,1,,,1.0,,Central America,Mixed or unknown,Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.34675, -109.4814",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00094,2014.MMP00094,Incident,North America,2014-05-30,2014,May,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.437783, -111.636383",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00095,2014.MMP00095,Incident,North America,2014-05-30,2014,May,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.437983, -111.636383",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00097,2014.MMP00097,Incident,North America,2014-06-01,2014,June,1.0,,1,,,1.0,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.62445, -111.3423",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00098,2014.MMP00098,Incident,North America,2014-06-03,2014,June,1.0,,1,,,1.0,,Central America,"Harsh environmental conditions / lack of adequate shelter, food, water",Mexico,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.334397, -110.96816",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00100,2014.MMP00100,Incident,North America,2014-06-06,2014,June,1.0,,1,,1.0,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.564183, -111.670617",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00103,2014.MMP00103,Incident,North America,2014-06-09,2014,June,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.906667, -112.0059",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00104,2014.MMP00104,Incident,North America,2014-06-09,2014,June,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.23316, -112.959966",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00105,2014.MMP00105,Incident,North America,2014-06-10,2014,June,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.05, -112.9",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00106,2014.MMP00106,Incident,North America,2014-06-10,2014,June,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.48843, -112.59816",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00107,2014.MMP00107,Incident,North America,2014-06-12,2014,June,1.0,,1,,1.0,,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.778767, -111.396767",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00108,2014.MMP00108,Incident,North America,2014-06-12,2014,June,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.833333, -113.75",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00109,2014.MMP00109,Incident,North America,2014-06-12,2014,June,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.914994, -111.875669",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00110,2014.MMP00110,Incident,North America,2014-06-12,2014,June,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.84452, -111.86507",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00111,2014.MMP00111,Incident,North America,2014-06-13,2014,June,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.14323, -112.58124",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00112,2014.MMP00112,Incident,North America,2014-06-14,2014,June,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.78543, -111.86321",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00113,2014.MMP00113,Incident,North America,2014-06-14,2014,June,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"31.49908, -111.40091",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
2014.MMP00119,2014.MMP00119,Incident,North America,2014-06-16,2014,June,1.0,,1,,,,,Latin America / Caribbean (P),Mixed or unknown,Unknown,US-Mexico border crossing,"La India Ranch, Brooks County, Texas, USA","Operation Identificatio, U. of Texas","27.15310333, -98",Northern America,,5.0,
2014.MMP00122,2014.MMP00122,Incident,North America,2014-06-18,2014,June,1.0,,1,,,1.0,,Latin America / Caribbean (P),"Harsh environmental conditions / lack of adequate shelter, food, water",Unknown,US-Mexico border crossing,"Pima Country Office of the Medical Examiner jurisdiction, Arizona, USA (see coordinates for exact location)",Pima County Office of the Medical Examiner (PCOME),"32.16403, -111.71384",Northern America,Undocumented Border Crossers 01/01/2014-08/29/2018,5.0,
